cue,bird_id,kind,source_file,processed_file,source_xc_id,license,recordist,page,source_duration_s,processed_duration_s,trim_start_s
bird.barn_swallow.song,barn_swallow,song,sounds/birds/barn_swallow/barn_swallow_XC492100.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/barn_swallow/song.mp3,492100,https://creativecommons.org/licenses/by-sa/4.0/,Marie-Lan Taÿ Pamart,https://xeno-canto.org/492100,78.922396,78.921995,0.0
bird.skylark.song,skylark,song,sounds/birds/skylark/skylark_XC903764.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/skylark/song.mp3,903764,https://creativecommons.org/licenses/by-sa/4.0/,Jochem verweij,https://xeno-canto.org/903764,87.905442,87.905011,0.0
bird.yellowhammer.song,yellowhammer,song,sounds/birds/yellowhammer/yellowhammer_XC902153.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/yellowhammer/song.mp3,902153,https://creativecommons.org/licenses/by-sa/4.0/,Jochem verweij,https://xeno-canto.org/902153,62.406531,62.406531,0.0
bird.common_chaffinch.song,common_chaffinch,song,sounds/birds/common_chaffinch/common_chaffinch_XC489896.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/common_chaffinch/song.mp3,489896,https://creativecommons.org/licenses/by-sa/4.0/,Hannu Varkki,https://xeno-canto.org/489896,32.62254,32.62254,0.0
bird.great_tit.song,great_tit,song,sounds/birds/great_tit/great_tit_XC703062.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/great_tit/song.mp3,703062,https://creativecommons.org/licenses/by-sa/4.0/,Max Karlsson,https://xeno-canto.org/703062,16.416508,16.416508,0.0
bird.european_robin.song,european_robin,song,sounds/birds/european_robin/european_robin_XC489906.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/european_robin/song.mp3,489906,https://creativecommons.org/licenses/by-sa/4.0/,Hannu Varkki,https://xeno-canto.org/489906,46.117982,46.117982,0.0
bird.common_blackbird.song,common_blackbird,song,sounds/birds/common_blackbird/common_blackbird_XC708973.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/common_blackbird/song.mp3,708973,https://creativecommons.org/licenses/by-sa/4.0/,Max Karlsson,https://xeno-canto.org/708973,29.326803,29.326803,0.0
bird.song_thrush.song,song_thrush,song,sounds/birds/song_thrush/song_thrush_XC537554.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/song_thrush/song.mp3,537554,https://creativecommons.org/licenses/by-sa/4.0/,Mats Havskogen,https://xeno-canto.org/537554,52.032,52.031995,0.0
bird.common_nightingale.song,common_nightingale,song,sounds/birds/common_nightingale/common_nightingale_XC1083488.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/common_nightingale/song.mp3,1083488,https://creativecommons.org/licenses/by-sa/4.0/,Robert Petersen,https://xeno-canto.org/1083488,62.674667,62.674671,0.0
bird.great_spotted_woodpecker.call,great_spotted_woodpecker,call,sounds/birds/great_spotted_woodpecker/great_spotted_woodpecker_XC995604.mp3,/Users/artjomkurapov/git/rebel-reval/sounds/birds/great_spotted_woodpecker/call.mp3,995604,https://creativecommons.org/licenses/by/4.0/,Noé Ferrari,https://xeno-canto.org/995604,36.471938,36.47195,0.0
